,mapping,trans_mapping,hs,hk,smap,smap_inf
233,[0 4 5 6],"['AAPL.csv', 'GOOGL.csv', 'IDXX.csv', 'MSFT.csv']",2.642125,2.623433,0.629712,3.613836
234,[0 1 4 6],"['AAPL.csv', 'ADBE.csv', 'GOOGL.csv', 'MSFT.csv']",2.572822,2.500657,0.591597,3.544534
235,[1 2 6 9],"['ADBE.csv', 'ADI.csv', 'MSFT.csv', 'TSLA.csv']",2.677310,2.655016,0.669530,3.649021
236,[0 2 3 7],"['AAPL.csv', 'ADI.csv', 'GOOG.csv', 'NFLX.csv']",2.652200,2.513655,0.671629,3.623912
237,[0 4 5 9],"['AAPL.csv', 'GOOGL.csv', 'IDXX.csv', 'TSLA.csv']",2.673442,2.660040,0.697377,3.645154
238,[1 4 5 8],"['ADBE.csv', 'GOOGL.csv', 'IDXX.csv', 'NVDA.csv']",2.633315,2.527639,0.632353,3.605027
239,[0 4 6 9],"['AAPL.csv', 'GOOGL.csv', 'MSFT.csv', 'TSLA.csv']",2.663869,2.534426,0.653833,3.635580
240,[3 4 8 9],"['GOOG.csv', 'GOOGL.csv', 'NVDA.csv', 'TSLA.csv']",2.262017,2.127978,0.677530,3.233729
241,[2 3 4 6],"['ADI.csv', 'GOOG.csv', 'GOOGL.csv', 'MSFT.csv']",2.246606,2.229313,0.625364,3.218317
242,[0 3 5 9],"['AAPL.csv', 'GOOG.csv', 'IDXX.csv', 'TSLA.csv']",2.672173,2.660318,0.697628,3.643885
243,[0 1 4 7],"['AAPL.csv', 'ADBE.csv', 'GOOGL.csv', 'NFLX.csv']",2.594893,2.584759,0.636572,3.566604
244,[1 4 6 7],"['ADBE.csv', 'GOOGL.csv', 'MSFT.csv', 'NFLX.csv']",2.593389,2.475937,0.619724,3.565100
245,[4 5 7 8],"['GOOGL.csv', 'IDXX.csv', 'NFLX.csv', 'NVDA.csv']",2.674430,2.663990,0.669757,3.646141
246,[2 5 6 9],"['ADI.csv', 'IDXX.csv', 'MSFT.csv', 'TSLA.csv']",2.741244,2.635188,0.690827,3.712956
247,[1 5 6 9],"['ADBE.csv', 'IDXX.csv', 'MSFT.csv', 'TSLA.csv']",2.674061,2.614554,0.677092,3.645773
248,[5 7 8 9],"['IDXX.csv', 'NFLX.csv', 'NVDA.csv', 'TSLA.csv']",2.713522,2.586662,0.722530,3.685233
249,[2 6 7 8],"['ADI.csv', 'MSFT.csv', 'NFLX.csv', 'NVDA.csv']",2.685850,2.598763,0.648179,3.657561
250,[0 3 4 9],"['AAPL.csv', 'GOOG.csv', 'GOOGL.csv', 'TSLA.csv']",2.235261,2.194973,0.688105,3.206973
251,[2 5 6 8],"['ADI.csv', 'IDXX.csv', 'MSFT.csv', 'NVDA.csv']",2.687909,2.645953,0.638169,3.659621
252,[5 6 7 8],"['IDXX.csv', 'MSFT.csv', 'NFLX.csv', 'NVDA.csv']",2.716088,2.634432,0.671204,3.687800
253,[0 5 6 7],"['AAPL.csv', 'IDXX.csv', 'MSFT.csv', 'NFLX.csv']",2.697488,2.678905,0.669181,3.669200
254,[2 4 7 8],"['ADI.csv', 'GOOGL.csv', 'NFLX.csv', 'NVDA.csv']",2.653299,2.564986,0.670221,3.625011
255,[0 1 4 9],"['AAPL.csv', 'ADBE.csv', 'GOOGL.csv', 'TSLA.csv']",2.632183,2.617197,0.664892,3.603895
256,[0 3 4 8],"['AAPL.csv', 'GOOG.csv', 'GOOGL.csv', 'NVDA.csv']",2.223606,2.089861,0.637137,3.195318
257,[2 4 7 9],"['ADI.csv', 'GOOGL.csv', 'NFLX.csv', 'TSLA.csv']",2.693424,2.543251,0.707802,3.665135
258,[0 3 8 9],"['AAPL.csv', 'GOOG.csv', 'NVDA.csv', 'TSLA.csv']",2.668888,2.435003,0.670626,3.640600
259,[0 1 3 7],"['AAPL.csv', 'ADBE.csv', 'GOOG.csv', 'NFLX.csv']",2.596644,2.524993,0.636329,3.568355
260,[0 4 6 8],"['AAPL.csv', 'GOOGL.csv', 'MSFT.csv', 'NVDA.csv']",2.634994,2.614899,0.597723,3.606705
261,[3 6 7 8],"['GOOG.csv', 'MSFT.csv', 'NFLX.csv', 'NVDA.csv']",2.664175,2.584882,0.627767,3.635887
262,[1 2 3 6],"['ADBE.csv', 'ADI.csv', 'GOOG.csv', 'MSFT.csv']",2.610689,2.586073,0.617433,3.582401
263,[0 5 8 9],"['AAPL.csv', 'IDXX.csv', 'NVDA.csv', 'TSLA.csv']",2.709351,2.576858,0.706785,3.681063
264,[0 3 4 6],"['AAPL.csv', 'GOOG.csv', 'GOOGL.csv', 'MSFT.csv']",2.210605,2.172128,0.613494,3.182317
265,[2 4 6 7],"['ADI.csv', 'GOOGL.csv', 'MSFT.csv', 'NFLX.csv']",2.668979,2.592688,0.644207,3.640691
266,[0 2 6 8],"['AAPL.csv', 'ADI.csv', 'MSFT.csv', 'NVDA.csv']",2.658819,2.547573,0.627721,3.630530
267,[1 4 8 9],"['ADBE.csv', 'GOOGL.csv', 'NVDA.csv', 'TSLA.csv']",2.655676,2.576684,0.660874,3.627388
268,[1 5 6 7],"['ADBE.csv', 'IDXX.csv', 'MSFT.csv', 'NFLX.csv']",2.647442,2.573072,0.656108,3.619154
269,[1 2 3 9],"['ADBE.csv', 'ADI.csv', 'GOOG.csv', 'TSLA.csv']",2.666013,2.587751,0.680397,3.637724
270,[1 2 4 5],"['ADBE.csv', 'ADI.csv', 'GOOGL.csv', 'IDXX.csv']",2.638937,2.508237,0.650372,3.610649
271,[2 3 7 9],"['ADI.csv', 'GOOG.csv', 'NFLX.csv', 'TSLA.csv']",2.692022,2.495051,0.708287,3.663734
272,[0 2 4 7],"['AAPL.csv', 'ADI.csv', 'GOOGL.csv', 'NFLX.csv']",2.650138,2.582577,0.676270,3.621850
273,[3 4 7 8],"['GOOG.csv', 'GOOGL.csv', 'NFLX.csv', 'NVDA.csv']",2.239514,2.228687,0.664442,3.211226
274,[0 1 5 9],"['AAPL.csv', 'ADBE.csv', 'IDXX.csv', 'TSLA.csv']",2.674923,2.577071,0.689801,3.646635
275,[1 4 6 9],"['ADBE.csv', 'GOOGL.csv', 'MSFT.csv', 'TSLA.csv']",2.629466,2.544718,0.641934,3.601177
276,[0 2 7 8],"['AAPL.csv', 'ADI.csv', 'NFLX.csv', 'NVDA.csv']",2.660655,2.632314,0.683744,3.632366
277,[2 3 4 8],"['ADI.csv', 'GOOG.csv', 'GOOGL.csv', 'NVDA.csv']",2.234323,2.218899,0.639149,3.206034
278,[4 6 7 9],"['GOOGL.csv', 'MSFT.csv', 'NFLX.csv', 'TSLA.csv']",2.682359,2.622851,0.675441,3.654071
279,[2 4 6 9],"['ADI.csv', 'GOOGL.csv', 'MSFT.csv', 'TSLA.csv']",2.698848,2.495829,0.663547,3.670560
280,[4 7 8 9],"['GOOGL.csv', 'NFLX.csv', 'NVDA.csv', 'TSLA.csv']",2.676267,2.541048,0.700672,3.647979
281,[1 5 8 9],"['ADBE.csv', 'IDXX.csv', 'NVDA.csv', 'TSLA.csv']",2.685951,2.610714,0.686040,3.657663
282,[0 4 8 9],"['AAPL.csv', 'GOOGL.csv', 'NVDA.csv', 'TSLA.csv']",2.667690,2.600644,0.681167,3.639402
283,[5 6 8 9],"['IDXX.csv', 'MSFT.csv', 'NVDA.csv', 'TSLA.csv']",2.736154,2.662856,0.680658,3.707865
284,[0 5 6 9],"['AAPL.csv', 'IDXX.csv', 'MSFT.csv', 'TSLA.csv']",2.724105,2.606426,0.690734,3.695816
285,[0 3 4 5],"['AAPL.csv', 'GOOG.csv', 'GOOGL.csv', 'IDXX.csv']",2.221422,2.205344,0.658211,3.193134
286,[1 4 5 9],"['ADBE.csv', 'GOOGL.csv', 'IDXX.csv', 'TSLA.csv']",2.647410,2.635192,0.674557,3.619122
287,[1 2 5 7],"['ADBE.csv', 'ADI.csv', 'IDXX.csv', 'NFLX.csv']",2.665498,2.646047,0.674681,3.637210
288,[2 3 4 5],"['ADI.csv', 'GOOG.csv', 'GOOGL.csv', 'IDXX.csv']",2.259250,2.236318,0.664289,3.230961
289,[0 1 3 6],"['AAPL.csv', 'ADBE.csv', 'GOOG.csv', 'MSFT.csv']",2.575051,2.502263,0.584694,3.546763
290,[2 6 8 9],"['ADI.csv', 'MSFT.csv', 'NVDA.csv', 'TSLA.csv']",2.703316,2.606181,0.657099,3.675028
291,[1 6 7 8],"['ADBE.csv', 'MSFT.csv', 'NFLX.csv', 'NVDA.csv']",2.645415,2.575057,0.635084,3.617126
292,[0 1 5 8],"['AAPL.csv', 'ADBE.csv', 'IDXX.csv', 'NVDA.csv']",2.651702,2.577776,0.646475,3.623414
293,[0 1 6 9],"['AAPL.csv', 'ADBE.csv', 'MSFT.csv', 'TSLA.csv']",2.660365,2.590336,0.643828,3.632077
294,[3 5 7 8],"['GOOG.csv', 'IDXX.csv', 'NFLX.csv', 'NVDA.csv']",2.671851,2.607315,0.680831,3.643563
295,[0 1 5 7],"['AAPL.csv', 'ADBE.csv', 'IDXX.csv', 'NFLX.csv']",2.643283,2.627498,0.666699,3.614995
296,[0 1 8 9],"['AAPL.csv', 'ADBE.csv', 'NVDA.csv', 'TSLA.csv']",2.676951,2.604512,0.676137,3.648663
297,[2 3 4 9],"['ADI.csv', 'GOOG.csv', 'GOOGL.csv', 'TSLA.csv']",2.277017,2.219647,0.694145,3.248728
298,[1 4 7 9],"['ADBE.csv', 'GOOGL.csv', 'NFLX.csv', 'TSLA.csv']",2.631727,2.575138,0.678482,3.603439
299,[4 5 6 9],"['GOOGL.csv', 'IDXX.csv', 'MSFT.csv', 'TSLA.csv']",2.697262,2.603486,0.669618,3.668973
300,[0 2 4 6],"['AAPL.csv', 'ADI.csv', 'GOOGL.csv', 'MSFT.csv']",2.638608,2.559336,0.624642,3.610320
301,[2 3 5 9],"['ADI.csv', 'GOOG.csv', 'IDXX.csv', 'TSLA.csv']",2.708015,2.693928,0.694603,3.679727
302,[2 3 6 9],"['ADI.csv', 'GOOG.csv', 'MSFT.csv', 'TSLA.csv']",2.702187,2.614630,0.653711,3.673899
303,[2 4 5 6],"['ADI.csv', 'GOOGL.csv', 'IDXX.csv', 'MSFT.csv']",2.675360,2.647475,0.636188,3.647071
304,[0 6 8 9],"['AAPL.csv', 'MSFT.csv', 'NVDA.csv', 'TSLA.csv']",2.709949,2.681532,0.662387,3.681661
305,[0 2 5 8],"['AAPL.csv', 'ADI.csv', 'IDXX.csv', 'NVDA.csv']",2.670125,2.547429,0.665475,3.641837
306,[0 4 6 7],"['AAPL.csv', 'GOOGL.csv', 'MSFT.csv', 'NFLX.csv']",2.633293,2.566309,0.625640,3.605005
307,[2 3 4 7],"['ADI.csv', 'GOOG.csv', 'GOOGL.csv', 'NFLX.csv']",2.249191,2.234391,0.674327,3.220903
308,[1 3 4 8],"['ADBE.csv', 'GOOG.csv', 'GOOGL.csv', 'NVDA.csv']",2.215112,2.211374,0.629312,3.186824
309,[0 1 4 5],"['AAPL.csv', 'ADBE.csv', 'GOOGL.csv', 'IDXX.csv']",2.604138,2.590266,0.636277,3.575850
310,[2 3 5 8],"['ADI.csv', 'GOOG.csv', 'IDXX.csv', 'NVDA.csv']",2.662329,2.644095,0.639031,3.634040
311,[1 5 6 8],"['ADBE.csv', 'IDXX.csv', 'MSFT.csv', 'NVDA.csv']",2.646868,2.569194,0.633763,3.618580
312,[1 5 7 9],"['ADBE.csv', 'IDXX.csv', 'NFLX.csv', 'TSLA.csv']",2.670127,2.547114,0.701973,3.641838
313,[0 2 3 9],"['AAPL.csv', 'ADI.csv', 'GOOG.csv', 'TSLA.csv']",2.683520,2.668340,0.690909,3.655232
314,[0 3 7 9],"['AAPL.csv', 'GOOG.csv', 'NFLX.csv', 'TSLA.csv']",2.651596,2.641247,0.703975,3.623307
315,[1 6 8 9],"['ADBE.csv', 'MSFT.csv', 'NVDA.csv', 'TSLA.csv']",2.675728,2.582799,0.644649,3.647440
316,[1 3 4 6],"['ADBE.csv', 'GOOG.csv', 'GOOGL.csv', 'MSFT.csv']",2.177550,2.168313,0.606865,3.149262
317,[2 3 7 8],"['ADI.csv', 'GOOG.csv', 'NFLX.csv', 'NVDA.csv']",2.652174,2.321486,0.667247,3.623886
318,[2 4 6 8],"['ADI.csv', 'GOOGL.csv', 'MSFT.csv', 'NVDA.csv']",2.645407,2.545835,0.606549,3.617119
319,[0 2 3 8],"['AAPL.csv', 'ADI.csv', 'GOOG.csv', 'NVDA.csv']",2.631743,2.454838,0.633496,3.603455
320,[3 4 5 6],"['GOOG.csv', 'GOOGL.csv', 'IDXX.csv', 'MSFT.csv']",2.242935,2.226113,0.638970,3.214647
321,[1 2 3 7],"['ADBE.csv', 'ADI.csv', 'GOOG.csv', 'NFLX.csv']",2.633028,2.564234,0.652959,3.604740
322,[0 7 8 9],"['AAPL.csv', 'NFLX.csv', 'NVDA.csv', 'TSLA.csv']",2.689944,2.676588,0.720620,3.661656
323,[1 3 4 5],"['ADBE.csv', 'GOOG.csv', 'GOOGL.csv', 'IDXX.csv']",2.197261,2.174208,0.643315,3.168972
324,[2 7 8 9],"['ADI.csv', 'NFLX.csv', 'NVDA.csv', 'TSLA.csv']",2.687581,2.592624,0.710721,3.659293
325,[0 1 3 4],"['AAPL.csv', 'ADBE.csv', 'GOOG.csv', 'GOOGL.csv']",2.183877,2.165307,0.624730,3.155589
326,[1 2 6 7],"['ADBE.csv', 'ADI.csv', 'MSFT.csv', 'NFLX.csv']",2.644891,2.570418,0.648416,3.616603
327,[2 3 8 9],"['ADI.csv', 'GOOG.csv', 'NVDA.csv', 'TSLA.csv']",2.675824,2.604569,0.675495,3.647535
328,[0 4 5 7],"['AAPL.csv', 'GOOGL.csv', 'IDXX.csv', 'NFLX.csv']",2.643837,2.634950,0.672787,3.615549
329,[0 1 6 8],"['AAPL.csv', 'ADBE.csv', 'MSFT.csv', 'NVDA.csv']",2.629854,2.532043,0.599432,3.601566
330,[4 5 8 9],"['GOOGL.csv', 'IDXX.csv', 'NVDA.csv', 'TSLA.csv']",2.696282,2.682927,0.685229,3.667994
331,[0 1 2 4],"['AAPL.csv', 'ADBE.csv', 'ADI.csv', 'GOOGL.csv']",2.616215,2.526954,0.649023,3.587927
332,[3 6 8 9],"['GOOG.csv', 'MSFT.csv', 'NVDA.csv', 'TSLA.csv']",2.690536,2.671828,0.641937,3.662248
333,[5 6 7 9],"['IDXX.csv', 'MSFT.csv', 'NFLX.csv', 'TSLA.csv']",2.739776,2.723318,0.708606,3.711488
334,[0 1 5 6],"['AAPL.csv', 'ADBE.csv', 'IDXX.csv', 'MSFT.csv']",2.628298,2.602531,0.637226,3.600009
335,[0 6 7 9],"['AAPL.csv', 'MSFT.csv', 'NFLX.csv', 'TSLA.csv']",2.710018,2.695217,0.689502,3.681730
336,[2 6 7 9],"['ADI.csv', 'MSFT.csv', 'NFLX.csv', 'TSLA.csv']",2.733970,2.706708,0.695135,3.705682
337,[1 3 4 7],"['ADBE.csv', 'GOOG.csv', 'GOOGL.csv', 'NFLX.csv']",2.189640,2.055448,0.645992,3.161352
338,[2 3 6 7],"['ADI.csv', 'GOOG.csv', 'MSFT.csv', 'NFLX.csv']",2.671782,2.520071,0.640804,3.643494
339,[0 2 6 9],"['AAPL.csv', 'ADI.csv', 'MSFT.csv', 'TSLA.csv']",2.716622,2.625261,0.676491,3.688334
340,[0 4 7 8],"['AAPL.csv', 'GOOGL.csv', 'NFLX.csv', 'NVDA.csv']",2.640200,2.508265,0.660468,3.611911
341,[0 3 4 7],"['AAPL.csv', 'GOOG.csv', 'GOOGL.csv', 'NFLX.csv']",2.207331,2.193153,0.669039,3.179042
342,[4 6 8 9],"['GOOGL.csv', 'MSFT.csv', 'NVDA.csv', 'TSLA.csv']",2.690158,2.610308,0.647270,3.661870
343,[1 5 7 8],"['ADBE.csv', 'IDXX.csv', 'NFLX.csv', 'NVDA.csv']",2.659955,2.593894,0.670326,3.631667
344,[3 5 8 9],"['GOOG.csv', 'IDXX.csv', 'NVDA.csv', 'TSLA.csv']",2.692739,2.608627,0.687140,3.664451
345,[2 4 5 7],"['ADI.csv', 'GOOGL.csv', 'IDXX.csv', 'NFLX.csv']",2.686628,2.671078,0.672207,3.658340
346,[4 6 7 8],"['GOOGL.csv', 'MSFT.csv', 'NFLX.csv', 'NVDA.csv']",2.662807,2.517742,0.627604,3.634519
347,[0 5 6 8],"['AAPL.csv', 'IDXX.csv', 'MSFT.csv', 'NVDA.csv']",2.690226,2.569354,0.641484,3.661938
348,[1 4 5 7],"['ADBE.csv', 'GOOGL.csv', 'IDXX.csv', 'NFLX.csv']",2.616449,2.556134,0.648230,3.588160
349,[1 2 8 9],"['ADBE.csv', 'ADI.csv', 'NVDA.csv', 'TSLA.csv']",2.667110,2.643578,0.685693,3.638821
350,[0 3 6 8],"['AAPL.csv', 'GOOG.csv', 'MSFT.csv', 'NVDA.csv']",2.637141,2.548676,0.582465,3.608853
351,[1 2 3 8],"['ADBE.csv', 'ADI.csv', 'GOOG.csv', 'NVDA.csv']",2.620191,2.525196,0.628900,3.591903
352,[0 2 6 7],"['AAPL.csv', 'ADI.csv', 'MSFT.csv', 'NFLX.csv']",2.687383,2.596667,0.659718,3.659095
353,[4 5 6 8],"['GOOGL.csv', 'IDXX.csv', 'MSFT.csv', 'NVDA.csv']",2.671129,2.652895,0.617252,3.642840
354,[0 1 2 7],"['AAPL.csv', 'ADBE.csv', 'ADI.csv', 'NFLX.csv']",2.649922,2.568137,0.677817,3.621634
355,[0 1 2 8],"['AAPL.csv', 'ADBE.csv', 'ADI.csv', 'NVDA.csv']",2.633439,2.542399,0.660385,3.605151
356,[0 1 6 7],"['AAPL.csv', 'ADBE.csv', 'MSFT.csv', 'NFLX.csv']",2.623906,2.550088,0.622371,3.595617
357,[1 7 8 9],"['ADBE.csv', 'NFLX.csv', 'NVDA.csv', 'TSLA.csv']",2.672763,2.595186,0.701070,3.644474
358,[1 4 5 6],"['ADBE.csv', 'GOOGL.csv', 'IDXX.csv', 'MSFT.csv']",2.598897,2.538978,0.621445,3.570608
359,[0 1 3 8],"['AAPL.csv', 'ADBE.csv', 'GOOG.csv', 'NVDA.csv']",2.612123,2.489032,0.610206,3.583834
360,[1 2 3 4],"['ADBE.csv', 'ADI.csv', 'GOOG.csv', 'GOOGL.csv']",2.220152,2.087747,0.647661,3.191864
361,[6 7 8 9],"['MSFT.csv', 'NFLX.csv', 'NVDA.csv', 'TSLA.csv']",2.726312,2.700752,0.687673,3.698023
362,[1 4 7 8],"['ADBE.csv', 'GOOGL.csv', 'NFLX.csv', 'NVDA.csv']",2.621871,2.402952,0.647555,3.593583
363,[1 2 4 8],"['ADBE.csv', 'ADI.csv', 'GOOGL.csv', 'NVDA.csv']",2.620308,2.531194,0.639141,3.592020
364,[0 2 4 8],"['AAPL.csv', 'ADI.csv', 'GOOGL.csv', 'NVDA.csv']",2.631079,2.546720,0.646144,3.602791
365,[3 4 6 8],"['GOOG.csv', 'GOOGL.csv', 'MSFT.csv', 'NVDA.csv']",2.241272,2.178343,0.605597,3.212984
366,[0 1 4 8],"['AAPL.csv', 'ADBE.csv', 'GOOGL.csv', 'NVDA.csv']",2.610209,2.533256,0.619791,3.581920
367,[1 3 5 9],"['ADBE.csv', 'GOOG.csv', 'IDXX.csv', 'TSLA.csv']",2.644274,2.577442,0.683981,3.615986
368,[3 7 8 9],"['GOOG.csv', 'NFLX.csv', 'NVDA.csv', 'TSLA.csv']",2.675000,2.543156,0.706700,3.646712
369,[1 2 4 9],"['ADBE.csv', 'ADI.csv', 'GOOGL.csv', 'TSLA.csv']",2.664463,2.651061,0.683819,3.636175
370,[2 4 5 8],"['ADI.csv', 'GOOGL.csv', 'IDXX.csv', 'NVDA.csv']",2.665145,2.598696,0.644199,3.636857
371,[0 2 5 9],"['AAPL.csv', 'ADI.csv', 'IDXX.csv', 'TSLA.csv']",2.718383,2.567656,0.710170,3.690094
372,[0 2 3 6],"['AAPL.csv', 'ADI.csv', 'GOOG.csv', 'MSFT.csv']",2.642571,2.619353,0.608616,3.614283
373,[1 2 7 8],"['ADBE.csv', 'ADI.csv', 'NFLX.csv', 'NVDA.csv']",2.642446,2.620862,0.673474,3.614158
374,[1 2 7 9],"['ADBE.csv', 'ADI.csv', 'NFLX.csv', 'TSLA.csv']",2.682220,2.668865,0.706164,3.653932
375,[0 1 2 6],"['AAPL.csv', 'ADBE.csv', 'ADI.csv', 'MSFT.csv']",2.628212,2.566047,0.627943,3.599923
376,[3 4 6 9],"['GOOG.csv', 'GOOGL.csv', 'MSFT.csv', 'TSLA.csv']",2.263153,2.227125,0.662231,3.234865
377,[0 2 3 4],"['AAPL.csv', 'ADI.csv', 'GOOG.csv', 'GOOGL.csv']",2.232669,2.210348,0.660675,3.204381
378,[3 4 5 9],"['GOOG.csv', 'GOOGL.csv', 'IDXX.csv', 'TSLA.csv']",2.257139,2.222459,0.696308,3.228851
379,[2 4 5 9],"['ADI.csv', 'GOOGL.csv', 'IDXX.csv', 'TSLA.csv']",2.710173,2.560017,0.695051,3.681885
380,[3 4 7 9],"['GOOG.csv', 'GOOGL.csv', 'NFLX.csv', 'TSLA.csv']",2.237530,2.210479,0.701451,3.209241
381,[0 4 5 8],"['AAPL.csv', 'GOOGL.csv', 'IDXX.csv', 'NVDA.csv']",2.654753,2.584724,0.647893,3.626465
382,[0 1 3 5],"['AAPL.csv', 'ADBE.csv', 'GOOG.csv', 'IDXX.csv']",2.604522,2.485519,0.634370,3.576234
383,[0 1 2 3],"['AAPL.csv', 'ADBE.csv', 'ADI.csv', 'GOOG.csv']",2.619166,2.554991,0.640733,3.590878
384,[0 3 5 8],"['AAPL.csv', 'GOOG.csv', 'IDXX.csv', 'NVDA.csv']",2.654026,2.340548,0.646356,3.625738
385,[0 5 6 8 9],"['AAPL.csv', 'IDXX.csv', 'MSFT.csv', 'NVDA.csv', 'TSLA.csv']",3.341131,3.009317,0.607660,3.214231
386,[0 1 2 4 6],"['AAPL.csv', 'ADBE.csv', 'ADI.csv', 'GOOGL.csv', 'MSFT.csv']",3.196697,2.953081,0.536474,3.069796
387,[2 4 5 6 8],"['ADI.csv', 'GOOGL.csv', 'IDXX.csv', 'MSFT.csv', 'NVDA.csv']",3.273597,2.965936,0.535788,3.146696
388,[0 4 6 7 8],"['AAPL.csv', 'GOOGL.csv', 'MSFT.csv', 'NFLX.csv', 'NVDA.csv']",3.255742,3.016250,0.541913,3.128841
389,[0 1 3 5 7],"['AAPL.csv', 'ADBE.csv', 'GOOG.csv', 'IDXX.csv', 'NFLX.csv']",3.221681,3.019174,0.571668,3.094781
390,[2 3 5 8 9],"['ADI.csv', 'GOOG.csv', 'IDXX.csv', 'NVDA.csv', 'TSLA.csv']",3.307863,3.075951,0.597471,3.180963
391,[4 5 7 8 9],"['GOOGL.csv', 'IDXX.csv', 'NFLX.csv', 'NVDA.csv', 'TSLA.csv']",3.316528,2.992449,0.634809,3.189628
392,[0 1 7 8 9],"['AAPL.csv', 'ADBE.csv', 'NFLX.csv', 'NVDA.csv', 'TSLA.csv']",3.288677,3.164983,0.628895,3.161776
393,[1 3 4 7 8],"['ADBE.csv', 'GOOG.csv', 'GOOGL.csv', 'NFLX.csv', 'NVDA.csv']",2.831943,2.783224,0.571352,2.705043
394,[0 4 6 7 9],"['AAPL.csv', 'GOOGL.csv', 'MSFT.csv', 'NFLX.csv', 'TSLA.csv']",3.285073,3.081046,0.594293,3.158172
395,[0 1 3 5 9],"['AAPL.csv', 'ADBE.csv', 'GOOG.csv', 'IDXX.csv', 'TSLA.csv']",3.258873,2.966035,0.598881,3.131973
396,[0 1 3 5 8],"['AAPL.csv', 'ADBE.csv', 'GOOG.csv', 'IDXX.csv', 'NVDA.csv']",3.233101,3.124933,0.541816,3.106200
397,[0 5 6 7 9],"['AAPL.csv', 'IDXX.csv', 'MSFT.csv', 'NFLX.csv', 'TSLA.csv']",3.349760,3.144562,0.630000,3.222859
398,[0 1 2 3 8],"['AAPL.csv', 'ADBE.csv', 'ADI.csv', 'GOOG.csv', 'NVDA.csv']",3.215546,3.049090,0.546787,3.088645
399,[1 2 4 7 8],"['ADBE.csv', 'ADI.csv', 'GOOGL.csv', 'NFLX.csv', 'NVDA.csv']",3.230526,3.084645,0.588315,3.103625
400,[0 1 6 7 9],"['AAPL.csv', 'ADBE.csv', 'MSFT.csv', 'NFLX.csv', 'TSLA.csv']",3.278373,3.048147,0.581615,3.151472
401,[0 1 2 5 9],"['AAPL.csv', 'ADBE.csv', 'ADI.csv', 'IDXX.csv', 'TSLA.csv']",3.305762,3.100998,0.625035,3.178862
402,[0 1 2 5 6],"['AAPL.csv', 'ADBE.csv', 'ADI.csv', 'IDXX.csv', 'MSFT.csv']",3.250176,3.115533,0.568083,3.123275
403,[1 3 4 6 7],"['ADBE.csv', 'GOOG.csv', 'GOOGL.csv', 'MSFT.csv', 'NFLX.csv']",2.802267,2.692371,0.537621,2.675367
404,[0 2 3 5 7],"['AAPL.csv', 'ADI.csv', 'GOOG.csv', 'IDXX.csv', 'NFLX.csv']",3.287065,2.993390,0.611438,3.160164
405,[1 3 6 7 8],"['ADBE.csv', 'GOOG.csv', 'MSFT.csv', 'NFLX.csv', 'NVDA.csv']",3.219022,3.017336,0.534286,3.092121
406,[0 2 5 6 9],"['AAPL.csv', 'ADI.csv', 'IDXX.csv', 'MSFT.csv', 'TSLA.csv']",3.347482,3.110695,0.620917,3.220582
407,[1 2 5 7 8],"['ADBE.csv', 'ADI.csv', 'IDXX.csv', 'NFLX.csv', 'NVDA.csv']",3.266936,2.980622,0.597618,3.140035
408,[0 4 7 8 9],"['AAPL.csv', 'GOOGL.csv', 'NFLX.csv', 'NVDA.csv', 'TSLA.csv']",3.283482,3.087380,0.631404,3.156581
409,[4 5 6 8 9],"['GOOGL.csv', 'IDXX.csv', 'MSFT.csv', 'NVDA.csv', 'TSLA.csv']",3.320150,3.069740,0.575572,3.193249
410,[2 4 5 6 7],"['ADI.csv', 'GOOGL.csv', 'IDXX.csv', 'MSFT.csv', 'NFLX.csv']",3.301868,3.132758,0.580141,3.174967
411,[1 3 5 6 9],"['ADBE.csv', 'GOOG.csv', 'IDXX.csv', 'MSFT.csv', 'TSLA.csv']",3.253788,3.040188,0.585512,3.126888
412,[3 4 5 6 7],"['GOOG.csv', 'GOOGL.csv', 'IDXX.csv', 'MSFT.csv', 'NFLX.csv']",2.878812,2.751590,0.586269,2.751911
413,[0 2 4 5 6],"['AAPL.csv', 'ADI.csv', 'GOOGL.csv', 'IDXX.csv', 'MSFT.csv']",3.269149,3.070933,0.556585,3.142249
414,[0 1 4 7 8],"['AAPL.csv', 'ADBE.csv', 'GOOGL.csv', 'NFLX.csv', 'NVDA.csv']",3.221277,2.895188,0.563063,3.094376
415,[0 3 5 6 7],"['AAPL.csv', 'GOOG.csv', 'IDXX.csv', 'MSFT.csv', 'NFLX.csv']",3.269378,3.083140,0.566670,3.142477
416,[0 1 5 7 8],"['AAPL.csv', 'ADBE.csv', 'IDXX.csv', 'NFLX.csv', 'NVDA.csv']",3.269875,3.009365,0.583941,3.142974
417,[0 1 4 8 9],"['AAPL.csv', 'ADBE.csv', 'GOOGL.csv', 'NVDA.csv', 'TSLA.csv']",3.258994,3.026334,0.581003,3.132093
418,[0 2 4 7 9],"['AAPL.csv', 'ADI.csv', 'GOOGL.csv', 'NFLX.csv', 'TSLA.csv']",3.300284,3.117032,0.640880,3.173384
419,[0 1 3 7 9],"['AAPL.csv', 'ADBE.csv', 'GOOG.csv', 'NFLX.csv', 'TSLA.csv']",3.244537,3.112885,0.603434,3.117636
