,mapping,trans_mapping,hs,hk,smap,smap_inf
66,[0 4 9],"['AAPL.csv', 'GOOGL.csv', 'TSLA.csv']",2.021712,2.014236,0.750969,4.092036
67,[3 4 7],"['GOOG.csv', 'GOOGL.csv', 'NFLX.csv']",1.574222,1.572741,0.730134,3.644546
68,[1 2 4],"['ADBE.csv', 'ADI.csv', 'GOOGL.csv']",2.008086,2.001620,0.718160,4.078410
69,[1 5 9],"['ADBE.csv', 'IDXX.csv', 'TSLA.csv']",2.036448,2.029124,0.752890,4.106772
70,[1 3 4],"['ADBE.csv', 'GOOG.csv', 'GOOGL.csv']",1.557337,1.536776,0.703743,3.627661
71,[1 2 9],"['ADBE.csv', 'ADI.csv', 'TSLA.csv']",2.052590,2.046512,0.757600,4.122914
72,[0 7 9],"['AAPL.csv', 'NFLX.csv', 'TSLA.csv']",2.040864,2.036001,0.774398,4.111188
73,[1 6 9],"['ADBE.csv', 'MSFT.csv', 'TSLA.csv']",2.036023,2.025584,0.728772,4.106347
74,[2 6 8],"['ADI.csv', 'MSFT.csv', 'NVDA.csv']",2.044061,2.025150,0.691319,4.114385
75,[4 5 9],"['GOOGL.csv', 'IDXX.csv', 'TSLA.csv']",2.044542,2.041579,0.756839,4.114866
76,[2 4 5],"['ADI.csv', 'GOOGL.csv', 'IDXX.csv']",2.047233,2.042249,0.724568,4.117557
77,[2 3 4],"['ADI.csv', 'GOOG.csv', 'GOOGL.csv']",1.609158,1.606665,0.722636,3.679482
78,[4 7 9],"['GOOGL.csv', 'NFLX.csv', 'TSLA.csv']",2.023662,2.018830,0.759419,4.093986
79,[0 3 6],"['AAPL.csv', 'GOOG.csv', 'MSFT.csv']",2.001393,1.893370,0.673827,4.071717
80,[0 5 8],"['AAPL.csv', 'IDXX.csv', 'NVDA.csv']",2.049458,2.042052,0.736543,4.119782
81,[1 5 8],"['ADBE.csv', 'IDXX.csv', 'NVDA.csv']",2.029094,2.016641,0.718934,4.099418
82,[4 7 8],"['GOOGL.csv', 'NFLX.csv', 'NVDA.csv']",2.026366,1.910243,0.731116,4.096690
83,[2 3 9],"['ADI.csv', 'GOOG.csv', 'TSLA.csv']",2.062525,2.058908,0.754238,4.132849
84,[1 7 8],"['ADBE.csv', 'NFLX.csv', 'NVDA.csv']",2.022421,2.016190,0.732522,4.092745
85,[2 6 7],"['ADI.csv', 'MSFT.csv', 'NFLX.csv']",2.070137,1.955178,0.727625,4.140461
86,[2 5 7],"['ADI.csv', 'IDXX.csv', 'NFLX.csv']",2.066114,2.057462,0.747443,4.136438
87,[0 1 3],"['AAPL.csv', 'ADBE.csv', 'GOOG.csv']",1.972455,1.968716,0.692226,4.042779
88,[2 4 9],"['ADI.csv', 'GOOGL.csv', 'TSLA.csv']",2.062262,2.057818,0.758261,4.132586
89,[5 7 9],"['IDXX.csv', 'NFLX.csv', 'TSLA.csv']",2.057579,2.053994,0.778960,4.127903
90,[3 8 9],"['GOOG.csv', 'NVDA.csv', 'TSLA.csv']",2.046681,2.043096,0.747021,4.117005
91,[0 3 8],"['AAPL.csv', 'GOOG.csv', 'NVDA.csv']",2.011474,2.010228,0.702265,4.081798
92,[0 2 7],"['AAPL.csv', 'ADI.csv', 'NFLX.csv']",2.041935,2.033283,0.754563,4.112259
93,[4 5 7],"['GOOGL.csv', 'IDXX.csv', 'NFLX.csv']",2.024645,2.020672,0.740631,4.094969
94,[3 4 8],"['GOOG.csv', 'GOOGL.csv', 'NVDA.csv']",1.601487,1.556425,0.709764,3.671811
95,[4 6 8],"['GOOGL.csv', 'MSFT.csv', 'NVDA.csv']",2.031540,2.029671,0.676401,4.101864
96,[1 5 7],"['ADBE.csv', 'IDXX.csv', 'NFLX.csv']",2.012112,2.006505,0.734443,4.082436
97,[2 5 6],"['ADI.csv', 'IDXX.csv', 'MSFT.csv']",2.074295,2.057959,0.722981,4.144619
98,[5 7 8],"['IDXX.csv', 'NFLX.csv', 'NVDA.csv']",2.060767,2.052584,0.752726,4.131091
99,[1 2 3],"['ADBE.csv', 'ADI.csv', 'GOOG.csv']",2.008873,2.003265,0.715540,4.079197
100,[0 2 6],"['AAPL.csv', 'ADI.csv', 'MSFT.csv']",2.046869,2.038687,0.708015,4.117193
101,[1 7 9],"['ADBE.csv', 'NFLX.csv', 'TSLA.csv']",2.024246,2.022377,0.755459,4.094570
102,[3 4 6],"['GOOG.csv', 'GOOGL.csv', 'MSFT.csv']",1.590259,1.587767,0.692295,3.660583
103,[1 6 7],"['ADBE.csv', 'MSFT.csv', 'NFLX.csv']",2.004411,2.000673,0.707924,4.074735
104,[2 5 9],"['ADI.csv', 'IDXX.csv', 'TSLA.csv']",2.080211,1.925694,0.755876,4.150535
105,[0 3 7],"['AAPL.csv', 'GOOG.csv', 'NFLX.csv']",1.994853,1.991237,0.730519,4.065177
106,[4 6 9],"['GOOGL.csv', 'MSFT.csv', 'TSLA.csv']",2.050088,2.039065,0.728395,4.120412
107,[0 3 5],"['AAPL.csv', 'GOOG.csv', 'IDXX.csv']",2.007791,2.005299,0.726125,4.078115
108,[3 6 9],"['GOOG.csv', 'MSFT.csv', 'TSLA.csv']",2.051133,2.046149,0.726459,4.121457
109,[1 3 7],"['ADBE.csv', 'GOOG.csv', 'NFLX.csv']",1.976501,1.975878,0.717424,4.046825
110,[1 2 7],"['ADBE.csv', 'ADI.csv', 'NFLX.csv']",2.026807,2.021353,0.739519,4.097131
111,[2 3 7],"['ADI.csv', 'GOOG.csv', 'NFLX.csv']",2.036434,1.916185,0.742864,4.106758
112,[3 4 5],"['GOOG.csv', 'GOOGL.csv', 'IDXX.csv']",1.586880,1.586257,0.723352,3.657204
113,[1 4 5],"['ADBE.csv', 'GOOGL.csv', 'IDXX.csv']",1.985156,1.980172,0.710565,4.055480
114,[1 4 9],"['ADBE.csv', 'GOOGL.csv', 'TSLA.csv']",2.010989,2.004912,0.734460,4.081313
115,[1 2 8],"['ADBE.csv', 'ADI.csv', 'NVDA.csv']",2.013074,2.000061,0.720006,4.083398
116,[0 1 9],"['AAPL.csv', 'ADBE.csv', 'TSLA.csv']",2.036399,2.030321,0.745197,4.106723
117,[2 3 6],"['ADI.csv', 'GOOG.csv', 'MSFT.csv']",2.036303,2.028827,0.692761,4.106627
118,[0 4 5],"['AAPL.csv', 'GOOGL.csv', 'IDXX.csv']",2.008842,1.875007,0.728733,4.079166
119,[0 5 6],"['AAPL.csv', 'IDXX.csv', 'MSFT.csv']",2.055122,2.047562,0.722157,4.125446
120,[0 3 9],"['AAPL.csv', 'GOOG.csv', 'TSLA.csv']",2.022432,2.016310,0.745567,4.092756
121,[2 8 9],"['ADI.csv', 'NVDA.csv', 'TSLA.csv']",2.047911,2.031712,0.745347,4.118235
122,[1 6 8],"['ADBE.csv', 'MSFT.csv', 'NVDA.csv']",2.016781,2.003226,0.683841,4.087105
123,[3 4 9],"['GOOG.csv', 'GOOGL.csv', 'TSLA.csv']",1.595988,1.574569,0.743381,3.666312
124,[0 4 6],"['AAPL.csv', 'GOOGL.csv', 'MSFT.csv']",1.998294,1.991440,0.682805,4.068618
125,[0 7 8],"['AAPL.csv', 'NFLX.csv', 'NVDA.csv']",2.036709,1.912016,0.747606,4.107033
126,[1 3 9],"['ADBE.csv', 'GOOG.csv', 'TSLA.csv']",2.009710,2.004847,0.736119,4.080034
127,[1 3 6],"['ADBE.csv', 'GOOG.csv', 'MSFT.csv']",1.965920,1.956021,0.679975,4.036244
128,[6 7 8],"['MSFT.csv', 'NFLX.csv', 'NVDA.csv']",2.070267,2.057806,0.717589,4.140591
129,[2 6 9],"['ADI.csv', 'MSFT.csv', 'TSLA.csv']",2.093846,2.086674,0.743175,4.164170
130,[5 6 9],"['IDXX.csv', 'MSFT.csv', 'TSLA.csv']",2.098703,2.090604,0.759803,4.169027
131,[5 6 7],"['IDXX.csv', 'MSFT.csv', 'NFLX.csv']",2.078836,2.070266,0.745932,4.149160
132,[7 8 9],"['NFLX.csv', 'NVDA.csv', 'TSLA.csv']",2.054707,1.928227,0.772334,4.125031
133,[4 5 8],"['GOOGL.csv', 'IDXX.csv', 'NVDA.csv']",2.040006,2.036890,0.718025,4.110330
134,[2 4 8],"['ADI.csv', 'GOOGL.csv', 'NVDA.csv']",2.021719,2.016264,0.712945,4.092043
135,[0 5 9],"['AAPL.csv', 'IDXX.csv', 'TSLA.csv']",2.061891,2.054414,0.771967,4.132215
136,[2 7 9],"['ADI.csv', 'NFLX.csv', 'TSLA.csv']",2.065455,1.923399,0.770823,4.135779
137,[2 3 8],"['ADI.csv', 'GOOG.csv', 'NVDA.csv']",2.021110,2.015185,0.707017,4.091434
138,[0 1 4],"['AAPL.csv', 'ADBE.csv', 'GOOGL.csv']",1.970884,1.966021,0.699217,4.041208
139,[5 6 8],"['IDXX.csv', 'MSFT.csv', 'NVDA.csv']",2.076475,1.946880,0.714225,4.146799
140,[3 5 8],"['GOOG.csv', 'IDXX.csv', 'NVDA.csv']",2.037100,2.034608,0.722518,4.107424
141,[6 8 9],"['MSFT.csv', 'NVDA.csv', 'TSLA.csv']",2.090834,2.087484,0.728313,4.161158
142,[1 4 7],"['ADBE.csv', 'GOOGL.csv', 'NFLX.csv']",1.977675,1.976194,0.711161,4.047999
143,[1 8 9],"['ADBE.csv', 'NVDA.csv', 'TSLA.csv']",2.048433,2.039240,0.742737,4.118757
144,[3 7 8],"['GOOG.csv', 'NFLX.csv', 'NVDA.csv']",2.025154,2.023285,0.737559,4.095478
145,[0 2 5],"['AAPL.csv', 'ADI.csv', 'IDXX.csv']",2.052361,2.039900,0.739405,4.122685
146,[0 1 5],"['AAPL.csv', 'ADBE.csv', 'IDXX.csv']",2.010418,2.000693,0.725439,4.080742
147,[0 8 9],"['AAPL.csv', 'NVDA.csv', 'TSLA.csv']",2.057583,2.050412,0.757311,4.127907
148,[3 6 8],"['GOOG.csv', 'MSFT.csv', 'NVDA.csv']",2.031347,2.028232,0.672315,4.101671
149,[0 2 3],"['AAPL.csv', 'ADI.csv', 'GOOG.csv']",2.020905,2.016308,0.720173,4.091229
150,[4 5 6],"['GOOGL.csv', 'IDXX.csv', 'MSFT.csv']",2.031558,2.025951,0.709459,4.101882
151,[0 5 7],"['AAPL.csv', 'IDXX.csv', 'NFLX.csv']",2.040893,2.037276,0.757408,4.111217
152,[1 3 8],"['ADBE.csv', 'GOOG.csv', 'NVDA.csv']",2.001987,1.883371,0.698026,4.072311
153,[2 4 7],"['ADI.csv', 'GOOGL.csv', 'NFLX.csv']",2.036923,2.034196,0.740326,4.107247
154,[0 1 2],"['AAPL.csv', 'ADBE.csv', 'ADI.csv']",2.021093,1.903457,0.732348,4.091417
155,[2 4 6],"['ADI.csv', 'GOOGL.csv', 'MSFT.csv']",2.033371,2.022156,0.697897,4.103695
156,[0 6 9],"['AAPL.csv', 'MSFT.csv', 'TSLA.csv']",2.074974,1.955971,0.737928,4.145298
157,[0 4 8],"['AAPL.csv', 'GOOGL.csv', 'NVDA.csv']",2.010571,2.008702,0.710299,4.080895
158,[0 3 4],"['AAPL.csv', 'GOOG.csv', 'GOOGL.csv']",1.565833,1.565210,0.712565,3.636157
159,[3 5 9],"['GOOG.csv', 'IDXX.csv', 'TSLA.csv']",2.039835,2.037966,0.762137,4.110159
160,[0 2 9],"['AAPL.csv', 'ADI.csv', 'TSLA.csv']",2.066963,2.058903,0.766145,4.137287
161,[6 7 9],"['MSFT.csv', 'NFLX.csv', 'TSLA.csv']",2.084195,2.076166,0.759259,4.154519
162,[4 8 9],"['GOOGL.csv', 'NVDA.csv', 'TSLA.csv']",2.047738,2.042753,0.745573,4.118062
163,[0 4 7],"['AAPL.csv', 'GOOGL.csv', 'NFLX.csv']",1.994491,1.989659,0.729484,4.064815
164,[2 5 8],"['ADI.csv', 'IDXX.csv', 'NVDA.csv']",2.040637,2.030268,0.715746,4.110961
165,[1 3 5],"['ADBE.csv', 'GOOG.csv', 'IDXX.csv']",1.982214,1.978241,0.715497,4.052538
166,[1 4 6],"['ADBE.csv', 'GOOGL.csv', 'MSFT.csv']",1.965348,1.957992,0.679827,4.035672
167,[0 2 4],"['AAPL.csv', 'ADI.csv', 'GOOGL.csv']",2.018813,1.904794,0.730373,4.089137
168,[1 2 6],"['ADBE.csv', 'ADI.csv', 'MSFT.csv']",2.013129,1.909702,0.707759,4.083453
169,[3 7 9],"['GOOG.csv', 'NFLX.csv', 'TSLA.csv']",2.020799,2.017183,0.766121,4.091123
170,[2 7 8],"['ADI.csv', 'NFLX.csv', 'NVDA.csv']",2.033262,2.016926,0.742499,4.103586
171,[0 1 7],"['AAPL.csv', 'ADBE.csv', 'NFLX.csv']",2.002448,1.880952,0.724359,4.072772
172,[0 6 7],"['AAPL.csv', 'MSFT.csv', 'NFLX.csv']",2.047007,2.045526,0.717582,4.117331
173,[0 2 8],"['AAPL.csv', 'ADI.csv', 'NVDA.csv']",2.022442,2.008335,0.727308,4.092766
174,[0 6 8],"['AAPL.csv', 'MSFT.csv', 'NVDA.csv']",2.048478,2.038814,0.689702,4.118802
175,[1 3 6 7],"['ADBE.csv', 'GOOG.csv', 'MSFT.csv', 'NFLX.csv']",2.595512,2.583356,0.616466,3.567223
176,[0 2 4 9],"['AAPL.csv', 'ADI.csv', 'GOOGL.csv', 'TSLA.csv']",2.681683,2.663734,0.699181,3.653394
177,[1 6 7 9],"['ADBE.csv', 'MSFT.csv', 'NFLX.csv', 'TSLA.csv']",2.666897,2.609520,0.673597,3.638609
178,[1 2 3 5],"['ADBE.csv', 'ADI.csv', 'GOOG.csv', 'IDXX.csv']",2.638521,2.619512,0.652635,3.610232
179,[2 3 5 7],"['ADI.csv', 'GOOG.csv', 'IDXX.csv', 'NFLX.csv']",2.684764,2.536548,0.679335,3.656476
180,[0 2 4 5],"['AAPL.csv', 'ADI.csv', 'GOOGL.csv', 'IDXX.csv']",2.662837,2.642899,0.664469,3.634549
181,[0 3 6 9],"['AAPL.csv', 'GOOG.csv', 'MSFT.csv', 'TSLA.csv']",2.667719,2.521175,0.645785,3.639431
182,[1 3 4 9],"['ADBE.csv', 'GOOG.csv', 'GOOGL.csv', 'TSLA.csv']",2.223716,2.161985,0.673224,3.195427
