N	mapping	trans_mapping	hs	hk	smap	smap_inf
2	[7 8]	['MSFT.csv', 'NFLX.csv']	1.412520	1.412520	0.608879	5.988842
2	[7 9]	['MSFT.csv', 'NTES.csv']	1.433232	1.433232	0.621957	6.009555
2	[ 7 10]	['MSFT.csv', 'NVDA.csv']	1.420998	1.420998	0.596047	5.997321
2	[ 7 11]	['MSFT.csv', 'TSLA.csv']	1.433885	1.433885	0.616918	6.010208
2	[8 9]	['NFLX.csv', 'NTES.csv']	1.386931	1.386308	0.623511	5.963254
2	[ 8 10]	['NFLX.csv', 'NVDA.csv']	1.394012	1.394012	0.618188	5.970334
2	[ 8 11]	['NFLX.csv', 'TSLA.csv']	1.377360	1.376737	0.625101	5.953682
2	[ 9 10]	['NTES.csv', 'NVDA.csv']	1.410698	1.410698	0.623586	5.987021
2	[ 9 11]	['NTES.csv', 'TSLA.csv']	1.390813	1.390190	0.628657	5.967136
2	[10 11]	['NVDA.csv', 'TSLA.csv']	1.403779	1.403779	0.619733	5.980101
3	[0 1 2]	['AAPL.csv', 'ADBE.csv', 'ADI.csv']	2.021093	1.903457	0.572343	5.498803
3	[0 1 3]	['AAPL.csv', 'ADBE.csv', 'CSCO.csv']	2.043279	2.034086	0.568964	5.520990
3	[0 1 4]	['AAPL.csv', 'ADBE.csv', 'GOOG.csv']	1.972455	1.968716	0.560218	5.450165
3	[0 1 5]	['AAPL.csv', 'ADBE.csv', 'GOOGL.csv']	1.970884	1.966021	0.559897	5.448594
3	[0 1 6]	['AAPL.csv', 'ADBE.csv', 'IDXX.csv']	2.010418	2.000693	0.577582	5.488129
3	[0 1 7]	['AAPL.csv', 'ADBE.csv', 'MSFT.csv']	1.992555	1.990063	0.561413	5.470266
3	[0 1 8]	['AAPL.csv', 'ADBE.csv', 'NFLX.csv']	2.002448	1.880952	0.575997	5.480158
3	[0 1 9]	['AAPL.csv', 'ADBE.csv', 'NTES.csv']	2.042615	2.036035	0.590959	5.520325
3	[ 0  1 10]	['AAPL.csv', 'ADBE.csv', 'NVDA.csv']	2.019745	2.013515	0.565368	5.497456
3	[ 0  1 11]	['AAPL.csv', 'ADBE.csv', 'TSLA.csv']	2.036399	2.030321	0.585055	5.514109
3	[0 2 3]	['AAPL.csv', 'ADI.csv', 'CSCO.csv']	2.064114	2.059129	0.574633	5.541824
3	[0 2 4]	['AAPL.csv', 'ADI.csv', 'GOOG.csv']	2.020905	2.016308	0.563768	5.498615
3	[0 2 5]	['AAPL.csv', 'ADI.csv', 'GOOGL.csv']	2.018813	1.904794	0.564970	5.496523
3	[0 2 6]	['AAPL.csv', 'ADI.csv', 'IDXX.csv']	2.052361	2.039900	0.578426	5.530071
3	[0 2 7]	['AAPL.csv', 'ADI.csv', 'MSFT.csv']	2.046869	2.038687	0.564503	5.524580
3	[0 2 8]	['AAPL.csv', 'ADI.csv', 'NFLX.csv']	2.041935	2.033283	0.584121	5.519646
3	[0 2 9]	['AAPL.csv', 'ADI.csv', 'NTES.csv']	2.069746	2.064883	0.597295	5.547456
3	[ 0  2 10]	['AAPL.csv', 'ADI.csv', 'NVDA.csv']	2.022442	2.008335	0.574730	5.500152
3	[ 0  2 11]	['AAPL.csv', 'ADI.csv', 'TSLA.csv']	2.066963	2.058903	0.592601	5.544674
3	[0 3 4]	['AAPL.csv', 'CSCO.csv', 'GOOG.csv']	2.034434	2.032565	0.566114	5.512145
3	[0 3 5]	['AAPL.csv', 'CSCO.csv', 'GOOGL.csv']	2.031506	1.923483	0.568682	5.509217
3	[0 3 6]	['AAPL.csv', 'CSCO.csv', 'IDXX.csv']	2.076803	1.941130	0.580627	5.554513
3	[0 3 7]	['AAPL.csv', 'CSCO.csv', 'MSFT.csv']	2.065494	1.942753	0.568838	5.543205
3	[0 3 8]	['AAPL.csv', 'CSCO.csv', 'NFLX.csv']	2.069138	2.059322	0.581474	5.546848
3	[0 3 9]	['AAPL.csv', 'CSCO.csv', 'NTES.csv']	2.096277	2.090155	0.591426	5.573988
3	[ 0  3 10]	['AAPL.csv', 'CSCO.csv', 'NVDA.csv']	2.073790	2.066314	0.568486	5.551501
3	[ 0  3 11]	['AAPL.csv', 'CSCO.csv', 'TSLA.csv']	2.091528	2.087789	0.591733	5.569238
3	[0 4 5]	['AAPL.csv', 'GOOG.csv', 'GOOGL.csv']	1.565833	1.565210	0.589899	5.043544
3	[0 4 6]	['AAPL.csv', 'GOOG.csv', 'IDXX.csv']	2.007791	2.005299	0.574956	5.485501
3	[0 4 7]	['AAPL.csv', 'GOOG.csv', 'MSFT.csv']	2.001393	1.893370	0.557853	5.479104
3	[0 4 8]	['AAPL.csv', 'GOOG.csv', 'NFLX.csv']	1.994853	1.991237	0.573226	5.472564
3	[0 4 9]	['AAPL.csv', 'GOOG.csv', 'NTES.csv']	2.030775	2.023298	0.588702	5.508485
3	[ 0  4 10]	['AAPL.csv', 'GOOG.csv', 'NVDA.csv']	2.011474	2.010228	0.558460	5.489185
3	[ 0  4 11]	['AAPL.csv', 'GOOG.csv', 'TSLA.csv']	2.022432	2.016310	0.586965	5.500143
3	[0 5 6]	['AAPL.csv', 'GOOGL.csv', 'IDXX.csv']	2.008842	1.875007	0.573482	5.486553
